Bikarmót III 2013/2014;Junior;AB;63-68kg;karlar;Sigurður Pálsson ; Björk;2;3
Bikarmót III 2013/2014;Junior;AB;59-63kg;karlar;Ægir Már Baldvinsson ; Keflavík;2;3
Bikarmót III 2013/2014;Senior;B;67-73kg;konur;Melkorka Víðsdóttir ; Ármann;2;3
Bikarmót III 2013/2014;Senior;C;62-67kg;Konur;Helene Rún Benjamínsdóttir ; Keflavík;2;3
Bikarmót III 2013/2014;Senior;BC;+87kg;karlar;Hicham Saber Saber ; Fram;2;3
Bikarmót III 2013/2014;Senior;C;80-87kg;karlar;Ólafur Gestur Jónsson ; Keflavík;2;3
Bikarmót III 2013/2014;Senior;A;68-74kg;karlar;Helgi Rafn Guðmundsson ; Keflavík;2;3
Bikarmót III 2013/2014;Senior;A;67-73kgkg;konur;Írunn Ketilsdóttir ; Ármann;2;3
Bikarmót III 2013/2014;Veteran;C;+95kg;karlar;Mikael Þór Halldórsson ; Keflavík;2;3
Bikarmót III 2013/2014;Veteran;BC;80-87kg;karlar;Grettir Einarsson ; Ármann;2;3
Bikarmót III 2013/2014;Cadet;AB;-33kg;Karlar;Halldór Grettisson ; Ármann;2;3
Bikarmót III 2013/2014;Cadet;BC;33-37kg;karlar;Gísli Már Kjartansson ; Keflavík;2;3
Bikarmót III 2013/2014;Cadet;AB;41-44kg;Konur;Viktoría Ósk Anítudóttir ; Keflavík;2;3
Bikarmót III 2013/2014;Cadet;B;41-45kg;karlar;Brynjar Logi Halldórsson ; Ármann;2;3
Bikarmót III 2013/2014;Cadet;BC;55-59kg;Konur;Salka Hlín Jóhannsdóttir ; Fram;2;3
Bikarmót III 2013/2014;Junior;B;73-78kg;Karlar;Ævar Týr Sigurðarson ; Keflavík;2;3
Bikarmót III 2013/2014;Cadet;C;61-65kg;Karlar;Sigurður Gísli Christensen ; Selfoss;2;3
Bikarmót III 2013/2014;Cadet;C;57-61kg;karlar;Hjalti Örn Árnason ; Keflavík;2;3
Bikarmót III 2013/2014;Cadet;C;53-57kg;Karlar;Hilmir Freyr Brynjarsson ; Keflavík;2;3
Bikarmót III 2013/2014;Cadet;B;49-53kg;Karlar;Níels Salómon Ágústsson ; Afturelding;2;3
Bikarmót III 2013/2014;Cadet;C;41-45kg;Karlar;Viktor Snær Flosason ; Ármann;2;3
Bikarmót III 2013/2014;Cadet;AB;57-61kg;Karlar;Gabríel Örn Grétarsson ; Björk;2;3
Bikarmót III 2013/2014;Veteran;B;+80kg;Konur;Erna Héðinsdóttir ; Ármann;3;1
Bikarmót III 2013/2014;Junior;AB;52-55kg;konur;Sigurjón Bergur Eiríksson ; Selfoss;3;1
Bikarmót III 2013/2014;Junior;AB;63-68kg;karlar;Ingólfur Jón Ágúst Óskarsson ; Einherjar;3;1
Bikarmót III 2013/2014;Junior;AB;59-63kg;karlar;Heiðrún Þorvaldsdóttir ; Ármann;3;1
Bikarmót III 2013/2014;Senior;B;67-73kg;konur;Anna Thjin ; Afturelding;3;1
Bikarmót III 2013/2014;Senior;BC;+87kg;karlar;Brynjúlfur Þorsteinsson ; Ármann;3;1
Bikarmót III 2013/2014;Senior;AB;63-68kg;karlar;Arnar Bragason ; Afturelding;3;1
Bikarmót III 2013/2014;Cadet;BC;33-37kg;karlar;Aldís Inga Richardsdóttir ; Afturelding;3;1
Bikarmót III 2013/2014;Cadet;AB;41-44kg;Konur;Hákon Jan Norðfjörð ; Ármann;3;1
Bikarmót III 2013/2014;Cadet;C;61-65kg;Karlar;Mikael Ársælsson ; Fram;3;1
Bikarmót III 2013/2014;Cadet;C;57-61kg;karlar;Gísli Ölversson ; Breiðablik;3;1
Bikarmót III 2013/2014;Cadet;C;53-57kg;Karlar;Ólafur Bjarki Guðmundsson ; Ármann;3;1
Bikarmót III 2013/2014;Cadet;B;49-53kg;Karlar;Halldór Gunnar Þorsteinsson ; Selfoss;3;1
